City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,mtwara,-10.27,40.18,83.93,54,62,7.29,TZ,1697607669
172,kavaratti,10.57,72.64,83.1,69,75,1.97,IN,1697607669
173,nar'yan-mar,67.67,53.09,34.11,89,100,8.99,RU,1697607669
174,sao vicente,-23.96,-46.39,73.98,26,100,5.28,BR,1697607669
175,vengerovo,55.68,76.75,56.44,59,47,10.36,RU,1697607669
176,bakaly,55.18,53.8,40.59,65,52,16.71,RU,1697607669
177,vorkuta,67.5,64.0,38.08,96,100,6.55,RU,1697607669
178,flying fish cove,-10.42,105.68,82.08,78,75,11.5,CX,1697607670
179,ust-nera,64.57,143.2,9.21,79,100,3.0,RU,1697607670
180,geneva,41.89,-88.31,49.86,87,0,0.0,US,1697607483
181,benghazi,32.12,20.07,73.17,57,0,6.96,LY,1697607670
182,papatowai,-46.56,169.47,54.68,70,66,11.65,NZ,1697607670
183,moultrie,31.18,-83.79,51.82,100,0,0.0,US,1697607670
184,qingdao,36.1,120.37,76.6,47,100,11.18,CN,1697607670
185,walvis bay,-22.96,14.51,59.09,88,3,4.61,NA,1697607670
186,puerto ayora,-0.74,-90.35,74.55,95,24,3.0,EC,1697607636
187,kazanskoye,55.64,69.23,57.88,47,5,13.94,RU,1697607671
188,invercargill,-46.4,168.35,54.01,81,90,18.99,NZ,1697607671
189,miguelopolis,-20.18,-48.03,80.42,60,66,4.45,BR,1697607671
190,siwa oasis,29.2,25.52,71.71,57,0,2.51,EG,1697607671
191,ilulissat,69.22,-51.1,14.02,73,75,8.05,GL,1697607671
192,sinabang,2.48,96.38,82.62,75,86,6.17,ID,1697607671
193,gandajika,-6.75,23.95,70.68,89,100,4.72,CD,1697607671
194,hithadhoo,-0.6,73.08,81.18,79,29,11.39,MV,1697607671
195,rio grande,-32.03,-52.1,51.94,77,28,12.3,BR,1697607620
196,thompson,55.74,-97.86,37.56,100,20,4.61,CA,1697607672
197,betio village,1.36,172.92,80.64,77,100,14.63,KI,1697607672
198,beyneu,45.32,55.2,52.16,50,84,7.65,KZ,1697607672
199,mount pearl,47.52,-52.78,38.84,91,75,5.75,CA,1697607672
200,susuman,62.78,148.17,6.98,62,35,1.01,RU,1697607672
201,nacimiento,-37.5,-72.67,50.05,74,0,1.68,CL,1697607672
202,san julian,21.02,-102.17,52.59,42,100,2.13,MX,1697607672
203,mungwi,-10.17,31.37,68.99,69,100,2.8,ZM,1697607673
204,queenstown,-31.9,26.88,66.45,40,0,3.62,ZA,1697607673
205,spanish lake,38.79,-90.22,53.28,78,0,0.0,US,1697607673
